Question,Option A,Option B,Option C,Option D,Correct Answer,Detailed Answer in English,Detailed Answer in Hindi
"What should a Loco Pilot do when an Automatic Stop signal with an ‘A’ marker is at ‘ON’? / जब एक 'A' चिन्ह वाला स्वचालित स्टॉप सिग्नल 'ON' स्थिति में हो, तो लोको पायलट को क्या करना चाहिए?",Pass the signal without stopping / बिना रुके सिग्नल पार करें,Stop for 2 minutes and proceed immediately / 2 मिनट रुककर तुरंत आगे बढ़ें,Stop and proceed cautiously after 1 minute (day) or 2 minutes (night) / दिन में 1 मिनट या रात में 2 मिनट रुककर सावधानी से आगे बढ़ें,None of these / इनमें से कोई नहीं,Stop and proceed cautiously after 1 minute (day) or 2 minutes (night) / दिन में 1 मिनट या रात में 2 मिनट रुककर सावधानी से आगे बढ़ें,"As per GR 9.02(1), the Loco Pilot must stop behind the signal and wait for 1 minute during the day or 2 minutes at night before proceeding cautiously.","सामान्य नियम 9.02(1) के अनुसार, लोको पायलट को सिग्नल के पीछे रुकना चाहिए और दिन में 1 मिनट या रात में 2 मिनट प्रतीक्षा करके सावधानी से आगे बढ़ना चाहिए।"
What is the maximum speed allowed after passing an Automatic Stop signal at ‘ON’ in clear visibility? / स्पष्ट दृश्यता में 'ON' पर स्वचालित स्टॉप सिग्नल पार करने के बाद अधिकतम गति कितनी होनी चाहिए?,25 km/h,15 km/h,10 km/h,20 km/h,15 km/h,"As per SR 9.02.01(b)(i), the speed must not exceed 15 km/h even in clear weather until the next stop signal is reached.","SR 9.02.01(b)(i) के अनुसार, स्पष्ट मौसम में भी अगले स्टॉप सिग्नल तक गति 15 किमी/घंटा से अधिक नहीं होनी चाहिए।"
What should be the minimum distance maintained between two trains in clear weather after passing an Automatic Stop signal at ‘ON’? / ‘ON’ सिग्नल पार करने के बाद साफ मौसम में दो ट्रेनों के बीच न्यूनतम दूरी क्या होनी चाहिए?,120 meters,180 meters,150 meters or 2 OHE masts,75 meters,150 meters or 2 OHE masts,"Loco Pilot must maintain 150 meters or two OHE masts distance. For EMU/DEMU/MEMU trains, it is 75 meters or one OHE mast.",लोको पायलट को 150 मीटर या दो ओएचई मस्त की दूरी बनाए रखनी होती है। EMU/DEMU/MEMU ट्रेनों के लिए यह दूरी 75 मीटर या एक ओएचई मस्त होती है।
"In dense fog, what is the maximum speed after passing an Automatic Stop signal at ‘ON’? / घने कोहरे में ‘ON’ पर स्वचालित सिग्नल पार करने के बाद अधिकतम गति कितनी होनी चाहिए?",15 km/h,5 km/h,25 km/h,10 km/h,10 km/h,"In fog, speed must not exceed 10 km/h to ensure visibility of flashing tail lamp or obstruction.",कोहरे में अधिकतम गति 10 किमी/घंटा से अधिक नहीं होनी चाहिए ताकि अगली ट्रेन की टेल लैंप या अवरोध को देखा जा सके।
"If the Loco Pilot cannot contact the Station Master for mid-section semi-automatic signal failure, he should: / अगर लोको पायलट मिड-सेक्शन सेमी-ऑटोमैटिक सिग्नल खराब होने पर स्टेशन मास्टर से संपर्क नहीं कर सके,तो उसे क्या करना चाहिए?",Return to previous station / पिछले स्टेशन लौट जाए,Pass after 10 minutes / 10 मिनट बाद पार करे,Pass after waiting for 5 minutes and proceed cautiously / 5 मिनट रुककर सावधानी से आगे बढ़े,Wait indefinitely / अनिश्चित समय तक प्रतीक्षा करे,Pass after waiting for 5 minutes and proceed cautiously / 5 मिनट रुककर सावधानी से आगे बढ़े,"As per Rule 9.03(4)(c), he should wait for 5 minutes and proceed at speed not exceeding 10 km/h.","नियम 9.03(4)(c) के अनुसार, लोको पायलट को 5 मिनट प्रतीक्षा करनी चाहिए और अधिकतम 10 किमी/घंटा की गति से सावधानीपूर्वक आगे बढ़ना चाहिए।"
"When a flickering or bobbing Automatic Stop signal does not stabilize, how should it be treated? / जब स्वचालित स्टॉप सिग्नल झिलमिलाता या ऊपर-नीचे होता है और स्थिर नहीं होता, तो इसे कैसे माना जाना चाहिए?",Proceed at full speed / पूरी गति से आगे बढ़ें,Treat as ‘OFF’ signal / 'OFF' सिग्नल माने,Treat as defective and follow GR 9.02 / दोषपूर्ण माने और GR 9.02 के अनुसार कार्य करें,Wait until signal goes completely off / तब तक प्रतीक्षा करें जब तक सिग्नल बंद न हो जाए,Treat as defective and follow GR 9.02 / दोषपूर्ण माने और GR 9.02 के अनुसार कार्य करें,"As per SR 9.02.02, such signal must be treated as defective if it doesn’t become steady for 60 seconds.","SR 9.02.02 के अनुसार, यदि सिग्नल 60 सेकंड तक स्थिर न हो, तो उसे दोषपूर्ण मानकर GR 9.02 के अनुसार कार्य करना चाहिए।"
"Who is responsible for train working at and between stations under Automatic Block System when CTC is not operational? / जब CTC कार्यरत नहीं होता, तब स्टेशन और स्टेशनों के बीच ट्रेन संचालन का उत्तरदायी कौन होता है?",Guard,Loco Pilot,Station Master,Controller,Station Master,Rule 9.08(1) states Station Master is responsible unless CTC is in operation.,"नियम 9.08(1) के अनुसार, जब CTC कार्यरत न हो, तब स्टेशन मास्टर ट्रेन संचालन के लिए उत्तरदायी होता है।"
"During signal failure, what is the maximum speed allowed in the affected section? / सिग्नल फेल होने पर प्रभावित खंड में अधिकतम गति कितनी हो सकती है?",15 km/h,25 km/h,20 km/h,10 km/h,25 km/h,"During failure, first train shall not exceed 25 km/h as per SR 9.12.01(g)(i).","SR 9.12.01(g)(i) के अनुसार, सिग्नल फेल होने पर पहली ट्रेन की गति 25 किमी/घंटा से अधिक नहीं होनी चाहिए।"
"Which form is issued to Loco Pilot when signals fail in Automatic Block System (Double Line)? / जब डबल लाइन ऑटोमैटिक ब्लॉक सिस्टम में सिग्नल फेल हो जाए, तो लोको पायलट को कौन सा फॉर्म दिया जाता है?",T-369(3b),T/A-602,T/A-912,None of these,T/A-912,Form T/A-912 is the authority to pass defective signals in Automatic Signalling territory.,T/A-912 फॉर्म स्वचालित सिग्नलिंग क्षेत्र में दोषपूर्ण सिग्नलों को पार करने की अनुमति देता है।
"In which case is a Guard required to use bell code “Three pause Three”? / किस स्थिति में गार्ड को ""तीन ठहराव तीन"" बेल कोड देना होता है?",When train is stationary,If Loco Pilot exceeds speed limit in EMU,When signal is ‘OFF’,When points are not set,If Loco Pilot exceeds speed limit in EMU,SR 9.02.01(b)(ii)(b) states that Guard must give bell code warning if speed is exceeded in EMU trains.,"SR 9.02.01(b)(ii)(b) के अनुसार, यदि EMU ट्रेन में गति सीमा पार की जाए, तो गार्ड को ""तीन ठहराव तीन"" बेल कोड देना चाहिए।"
